,OBJECTID,Match_type,Ref_ID,ID1,Id,SchoolId,Name,Address,City,Zipcode,Contact,PhoneNumbe,YearBuilt,NumStories,Cost,NumStudent,BackupPowe,ShelterCap,Latitude,Longitude,Comment,X,Y,NumStudent12,CampusHous,NumStudents13,URL,Address2013
12,13,NCES & Consortium,0,"100 Morrissey Boulevard, Boston, Massachusetts 02*",91520,166638,University of Massachusetts-Boston,"100 Morrissey Blvd, Boston, Massachusetts 02125",North Dorchester,264200,COMMONWEALTH OF MASS,(617) 287-5000,1960,5,195575300,14912,0, ,42.31380935,-71.03920216,1303400000,780798.4547,2939716.905,15741, ,16277,http://www.umb.edu,
4,5,NCES & Consortium,0,"36 1st Avenue, Boston, Massachusetts 02129-4557",9109,166869,MGH Institute of Health Professions,"36 1st Avenue, Boston, Massachusetts 02129",Charlestown,70077,MGH INSTITUTE OF HEALTH,(617) 726-3140,1899,3.5,9386500,900,0, ,42.37491705,-71.05397174,203504000,776687.3212,2961964.424,928, ,1096,http://www.mghihp.edu,
30,32,NCES,0,"150 North Street, Boston, Massachusetts 02109",9019,167297,North Bennet Street School,"39 North Bennet St, Boston, Massachusetts 02113",North End,33790,NO BENNETT ST IND SCHL,(617) 227-0155,1899,4,5845800,144,0, ,42.36589,-71.05478,302292000,776486.0959,2958673.641,151, ,161,http://www.nbss.org,
29,31,NCES & Consortium,0,"10 High St Ste 204, Boston, Massachusetts 02110",12255,164438,New England College of Business and Finance,"10 High St, Boston, Massachusetts 02110",Financial District,127396,POWER JOHN F,(617) 951-2350,1920,11,12889200,765,0, ,42.35353,-71.05673,304211000,775982.5267,2954166.672,1319, ,1145,http://www.finance.edu,
25,27,Consortium,0,"Medford, Massachusetts 02155-5555",11753,0,Tufts University School of Medicine,136 Harrison Ave,Chinatown,133416,TUFTS UNIVERSITY TRST, ,1945,8,31126800,0,0, ,42.3498,-71.06148999,305251000,774702.8987,2952800.739,10777, ,797, ,
1,2,NCES & Consortium,0,"8 Ashburton Place, Boston, Massachusetts 02108-27*",11959,168005,Suffolk University,"8 Ashburton Pl Beacon Hill, Boston, Massachusetts 02108",Boston,149016,SUFFOLK UNIVERSITY TRSTS OF,(617) 573-8000,1899,12,21673500,9148,0, ,42.35890485,-71.0619481,302802001,774562.0259,2956118.084,9101,21%,8675,http://www.suffolk.edu,
31,33,NCES,0,,12435,164845,Empire Beauty School-Boston,"30 West Street, Boston, Massachusetts 02111",Financial District,25175,CHENG HUNG TS, ,1899,5,1618800,205,0, ,42.35485,-71.06237,304817000,774455.5803,2954639.833,280, ,241, ,
32,34,NCES & Consortium,0,"178 Tremont St 7th Fl, Boston, Massachusetts 0211*",11884,429128,Urban College of Boston,"178 Tremont St, Boston, Massachusetts 02111",Financial District,63096,ACTION FOR BOSTON COMMUNITY,(617) 292-4723,1899,10,4285100,617,0, ,42.35288999,-71.06407999,304884000,773997.0317,2953923.205,562, ,762,http://www.urbancollege.edu,
51,53,NCES & Consortium,0,"303 Adams Street, Milton, Massachusetts 02186",59172,165264,Laboure College,"2120 Dorchester Ave, Boston, Massachusetts 02124",South Dorchester,282494,NEW CARITAS CHRISTI HOSPITAL,(617) 296-8300,1899,8,51941000,669,0, ,42.27739331,-71.0651491,1605018000,773848.3141,2926409.522,732, ,698,http://www.laboure.edu,
35,37,NCES & Consortium,0,"120 Boylston Street, Boston, Massachusetts 02116-*",14326,165662,Emerson College,"120 Boylston Street, Boston, Massachusetts 02116",Beacon Hill,0,EMERSON COLLEGE,(617) 824-8500,0, ,4545500,4556,0, ,42.35221938,-71.06573578,500043010,773550.7176,2953676.536,4469,48%,4561,http://www.emerson.edu,
38,40,NCES & Consortium,0,"154 Stuart St, Boston, Massachusetts 02116",13000,167215,New England School of Law,"154 Stuart St, Boston, Massachusetts 02116",Beacon Hill,65429,NEW ENGLAND SCHOOL OF LAW,(617) 451-0010,1899,5,8714400,1096,0, ,42.35077028,-71.06642451,500077000,773367.236,2953147.511,, ,964,http://www.nesl.edu,
3,4,NCES & Consortium,0,"250 New Rutherford Ave, Boston, Massachusetts 021*",1949,165112,Bunker Hill Community College,"250 New Rutherford Ave, Boston, Massachusetts 02129",Charlestown,203509,COMMONWEALTH OF MASS,(617) 228-2000,1899,4,17181400,11009,0, ,42.37511654,-71.06957165,202170000,772471.7598,2962015.467,12934, ,14023,http://www.bhcc.mass.edu,
0,1,NCES,0,"Fruit St, Boston, Massachusetts 02114-2696",98627,431594,Massachusetts General Hospital Dietetic Internship,"Fruit St, Boston, Massachusetts 02114",West End,365190,MASS GEN EYE * EAR INF,(617) 726-2589,1899,13,106836600,10,0, ,42.36259065,-71.07014072,300381001,772340.9999,2957450,, ,20,,
2,3,NCES & Consortium,0,"41 Berkeley St, Boston, Massachusetts 02116",16632,165884,Benjamin Franklin Institute of Technology,"41 Berkeley St, Boston, Massachusetts 02116",South End,78750,CITY OF BOSTON,(617) 423-4630,1920,4,15975800,594,0, ,42.34610271,-71.07018646,500688000,772358.9149,2951441.414,472, ,482,http://www.bfit.edu,
20,22,Consortium,0,,17534,0,Boston University School of Medicine,85 East Newton St,South End,262488,COMMWLTH OF MASS,(617)-414-2188,1978,10,72049800,0,0, ,42.33638764,-71.07096966,801408000,772164.9999,2947900,,,0,,
21,23,Consortium,0,,17638,0,Boston University Public Health,715 Albany St,South End,82563,BOSTON UNIVERSITY TRSTS OF,(617)-638-4935,1899,5,13981647,0,0, ,42.33531935,-71.07162395,801418000,771990.0544,2947509.805,,,0,http://www.bu.edu/sph/about/busph-at-a-glance/,
39,41,NCES,0,,2262,167543,Kaplan Career Institute (Closed),"570 Rutherford Ave, Charlestown, Massachusetts 02129",Charlestown,606500,HOOD BUSINESS PARK LLC,(617) 580-4010,1920,3,16958900,619,0, ,42.38101,-71.07244699,202161000,771684.0609,2964159.258,,,0,,
34,36,NCES,0, ,13825,165149,Butera School Of Art,"111 Beacon St, Boston, Massachusetts 02116",Back Bay,8520,BUTERA JOSEPH L,(617) 536-4623,1899,5,594700,23,0, ,42.35498,-71.07316,502814000,771538.8919,2954672.429,, ,0,http://www.buteraschool.com,
36,38,NCES & Consortium,0,"118 Beacon Street, Boston, Massachusetts 02116",13866,165802,Fisher College,"118 Beacon Street, Boston, Massachusetts 02116",Back Bay,21600,FISHER SCHOOL,(617) 236-8800,1899,5,280651,1593,0, ,42.35525,-71.07414,502574000,771273.5148,2954769.498,1821,40%,1930,http://www.fisher.edu,
37,39,NCES & Consortium,0,"126 Newbury Street, Boston, Massachusetts 02116",14004,166276,Sanford-Brown College-Boston,"126 Newbury Street, Boston, Massachusetts 02116",Back Bay,52830,BEEKMAN TOWN HOUSE LLC,(617) 578-7100,1920,6,5200400,158,0, ,42.351004,-71.076416,501320000,770666.018,2953219.11,, ,71,http://www.gibbscollege.com,
33,35,NCES & Consortium,0,"122 Commonwealth Avenue, Boston, Massachusetts 02*",14049,164641,Bay State College,"122 Commonwealth Avenue, Boston, Massachusetts 02116",Back Bay,10182,PFANNENSTIEHL FREDERICK G TS,(617) 236-8000,1899,4,832000,753,0, ,42.35176999,-71.07694,501353000,770522.9917,2953497.552,1225,19%,1204,http://www.baystate.edu,
40,42,NCES & Consortium,0,"320 Newbury Street, Boston, Massachusetts 02115-2*",15443,164872,Boston Architectural College,"320 Newbury Street, Boston, Massachusetts 02115",Back Bay,42344,BOSTON ARCHITECTURAL COLLEGE,(617) 262-5000,1899,6,11385900,1406,0, ,42.34846,-71.0858,503062000,768133.943,2952279.57,1215, ,1037,http://www.the-bac.edu,
45,47,NCES & Consortium,0,"290 Huntington Ave, Boston, Massachusetts 02115-5*",22925,167057,The New England Conservatory of Music,"290 Huntington Ave, Boston, Massachusetts 02115",Fenway/Kenmore,0,NEW ENGLAND CONS OF MUSIC,(617) 585-1100,0,4,299000,785,0, ,42.34109299,-71.086446,402246000,767972.3331,2949594.049,775,40%,813,http://www.newenglandconservatory.edu,
43,45,NCES & Consortium,0,"424 Beacon St, Boston, Massachusetts 02115",15908,167093,New England College of Optometry,"424 Beacon St, Boston, Massachusetts 02115",Back Bay,17037,NEW ENGLAND COLLEGE,(617) 266-2030,1900,5,5568600,467,0, ,42.35184999,-71.08680999,503507000,767854.936,2953513.627,475, ,502,http://www.neco.edu,
44,46,NCES & Consortium,0,"360 Huntington Ave, Boston, Massachusetts 02115-5*",23123,167358,Northeastern University,"360 Huntington Ave, Boston, Massachusetts 02115",Fenway/Kenmore,142900,NORTHEASTERN UNIVERSITY,(617) 373-2000,1899,3,426358800,27537,0, ,42.3400479,-71.08889159,402236000,767313.0001,2949210,26959, ,8479,http://www.northeastern.edu,
47,49,NCES & Consortium,0,"1140 Boylston St, Boston, Massachusetts 02215",23134,164748,Berklee College of Music,"1140 Boylston St, Boston, Massachusetts 02215",Fenway/Kenmore,36300,M B H ASSOCIATES LPS,(617) 266-1400,1899,6,4647300,4145,0, ,42.34668904,-71.0890112,401384000,767268.9998,2951630,4307,20%,4519,http://www.berklee.edu,
9,10,NCES & Consortium,0,"8 the Fenway, Boston, Massachusetts 02215",22285,164933,The Boston Conservatory,"8 Fenway, Boston, Massachusetts 02215",Fenway/Kenmore,35350,BOSTON CONSERVATRY MUSIC,(617) 536-6340,1899,6,4900600,682,0, ,42.34605822,-71.09001133,401795000,766999.7448,2951398.816,710,29%,774,http://www.bostonconservatory.edu,
46,48,NCES & Consortium,0,"550 Huntington Ave, Boston, Massachusetts 02115",86223,168227,Wentworth Institute of Technology,"550 Huntington Ave, Boston, Massachusetts 02115",Fenway/Kenmore,236886,WENTWORTH INSTITUTE,(617) 442-9010,1900,3,12929600,3808,0, ,42.33662,-71.09493999,402024000,765683.7113,2947952.985,3988,41%,4179,http://www.wit.edu,
11,12,NCES,0,"1234 Columbus Ave, Roxbury Crossing, Massachusett*",89176,167631,Roxbury Community College,"1234 Columbus Ave, Roxbury Crossing, Massachusetts 02120",Roxbury,144812,BOARD OF REGENTS OF,(617) 427-0060,1986,5,30893400,2749,0, ,42.32923535,-71.09549441,1100029000,765546.5748,2945261.174,2744, ,2437,http://www.rcc.mass.edu,
6,7,NCES & Consortium,0,"230 The Fenway, Boston, Massachusetts 02115-5596",86302,166984,School of the Museum of Fine Arts-Boston,"230 The Fenway, Boston, Massachusetts 02115",Fenway/Kenmore,113496,MUSEUM OF FINE ARTS,(617) 267-6100,1987,3,8437121,754,0, ,42.33853793,-71.09669362,401806000,765206.2769,2948649.671,747,14%,651,http://www.smfa.edu,
48,50,NCES,0,,16255,457013,Kaplan Career Institute (Closed),"540 Commonwealth Ave, Boston, Massachusetts 02215",Fenway/Kenmore,34112,SHUBERT FOUNDATION INC,(617) 695-4103,1899,3,3854600,249,0, ,42.34849199,-71.09672499,503938000,765180.6451,2952277.079,218,,0,,
49,51,NCES,0,"537 Commonwealth Ave, Boston, Massachusetts 02215",16296,167224,New England School of Photography,"537 Commonwealth Ave, Boston, Massachusetts 02215",Fenway/Kenmore,16500,TRUSTEES OF BOSTON,(617) 437-1868,1923,3,452500,119,0, ,42.34922,-71.09691999,503755000,765126.679,2952542.128,98, ,66,http://www.nesop.com,
18,19,Consortium,0,,16267,0,Boston University Rental Office,19 Deerfield Rd,Fenway/Kenmore,0,BOSTON UNIVERSITY TRSTS OF,(617)-353-4101,1925,4,82800,0,0, ,42.34953999,-71.09701,503757000,765101.7995,2952658.627,,,0,,
16,17,Consortium,0,,16275,0,Boston University School of Management,595 Commonwealth Ave,Fenway/Kenmore,12908,BOSTON UNIVERSITY TRSTS OF,(617)-353-9720,1960,2,998700,0,0, ,42.34943784,-71.09810862,503981000,764804.9998,2952620,,,0,,
17,18,Consortium,0,,16291,0,Boston University Admissions,121 Bay State Rd,Fenway/Kenmore,13055,BOSTON UNIVERSITY TRSTS,(617)-353-2300,1899,4,2624800,0,0, ,42.350434,-71.09884899,504037000,764603.1577,2952982.075,,,0,,
50,52,NCES,0, ,98366,16645201,Art Institute of Boston at Lesley University,"700 Beacon St, Boston, Massachusetts 02215",Fenway/Kenmore,37990,ART INSTITUTE OF BOSTON,(617) 585-6600,1899,4,7212500,0,0, ,42.34849999,-71.09936999,504144000,764465.6357,2952276.625,,27%,0,http://www.aiboston.edu,
8,9,NCES & Consortium,0,"One Silber Way, Boston, Massachusetts 02215",15422,164988,Boston University,"One Silber Way, Boston, Massachusetts 02215",Fenway/Kenmore,593154,BOSTON UNIVERSITY TRSTS OF,(617) 353-2000,1996,8,66943300,31960,0, ,42.34955975,-71.09970931,503991000,764372.1008,2952662.391,32439,74%,32411,http://www.bu.edu,
7,8,NCES & Consortium,0,"300 The Fenway, Boston, Massachusetts 02115-5898",86125,167783,Simmons,"300 Fenway, Boston, Massachusetts 02115",Fenway/Kenmore,240740,SIMMONS COLLEGE,(617) 521-2000,1976,4,55553100,5003,0, ,42.33918733,-71.0999399,401842000,764327.4965,2948882.188,4829,75%,4900,http://www.simmons.edu,
41,43,NCES & Consortium,0,"621 Huntington Ave, Boston, Massachusetts 02115-5*",86503,166674,Massachusetts College of Art and Design,"621 Huntington Ave, Boston, Massachusetts 02115",Fenway/Kenmore,217791,COMMWLTH OF MASS,(617) 879-7000,1900,6,65800100,2422,0, ,42.33638373,-71.10034042,401841000,764224,2947860,2422,28%,2264,http://www.massart.edu,
42,44,NCES & Consortium,0,"179 Longwood Ave, Boston, Massachusetts 02115-5896",86582,166656,MCPHS University,"179 Longwood Ave, Boston, Massachusetts 02115",Fenway/Kenmore,104000,MASS COLLEGE OF PHARMACY,(617) 732-2800,1917,4,87531900,4252,0, ,42.33688,-71.10112,401844000,764012.3787,2948039.86,5327,17%,6548,http://www.mcp.edu,
15,16,Consortium,0,,15282,0,Boston University Sargent College,635 Commonwealth Ave,Fenway/Kenmore,85902,BOSTON UNIVERSITY TRS OF,(617)-353-2711,1899,7,19403300,0,0, ,42.34983461,-71.10204532,504089000,763740.1739,2952759.598,,,0,http://www.bu.edu/sargent/about-us/fast-facts/,
24,26,Consortium,0,"Massachusetts Hall, Cambridge, Massachusetts 02138",98086,0,Harvard Medical School,200 Longwood Ave,Fenway/Kenmore,67821,HARVARD COLLEGE, ,1906,5,522739567,0,0, ,42.33650088,-71.10247008,401882000,763647.9999,2947900,27392, ,1732,http://www.hms.harvard.edu,
5,6,NCES & Consortium,0,"400 The Fenway, Boston, Massachusetts 02115",86640,165671,Emmanuel College,"400 Fenway, Massachusetts 02115",Fenway/Kenmore,52212,EMMANUEL COLLEGE TRUSTEES,(617) 735-9715,1899,3,99370400,2454,0, ,42.34151633,-71.10347795,401847000,763367.006,2949726.454,2519,48%,2436,http://www.emmanuel.edu,
23,25,Consortium,0,"300 The Fenway, Boston, Massachusetts 02115-5898",86676,0,Simmons College,94 Pilgrim Rd.,Fenway/Kenmore,48601,SIMMONS FEMALE COLLEGE,(617)-521-1101,1899,2,21821300,0,0, ,42.34105034,-71.10589563,402012000,762714.1704,2949553.609,, ,4655,,
10,11,NCES,0,"200 Riverway, Boston, Massachusetts 02215-4176",86683,168290,Wheelock College,"200 the Riverway, Boston, Massachusetts 02215",Fenway/Kenmore,75256,WHEELOCK SCHOOL,(617) 734-5200,1925,3,11614900,1055,0, ,42.34174,-71.10642,402011000,762571.2487,2949804.278,1285,70%,1378,http://www.wheelock.edu,
26,28,Consortium,0,,86735,0,MASCO Colleges of the Fenway,375 Longwood Ave,Fenway/Kenmore,399470,CONG ADATH ISRAEL OF BOSTON,(617)-632-2739,1991,7,37257100,0,0, ,42.34004,-71.10830999,401996000,762063.1349,2949182.414,,,0,,
13,14,Consortium,0,,15399,0,Boston University Research,771 Commonwealth Ave,Fenway/Kenmore,0,BOSTON UNIVERSITY TRSTS,(617)-353-3696,0,5,1484500,0,0, ,42.35083298,-71.10900119,2100360000,761858.2367,2953114.73,,,0,,
14,15,Consortium,0,,15400,0,Boston University School of Law,1 University Rd,Fenway/Kenmore,54767,BOSTON UNIVERSITY TRSTS,(617)-353-9000,1931,3,5529700,0,0, ,42.35116191,-71.10977291,2100392000,761649.0846,2953233.643,,,0,http://www.bu.edu/law/about/overview.html,
54,57,NCES,0,"400 Heath St, Chestnut Hill, Massachusetts 02467",90949,167455,Pine Manor College,"400 Heath St, Chestnut Hill, Massachusetts 02467",Jamaica Plain,0,BACK OF THE HILL CONDO TRUST,(617) 731-7000,1999,2,0,484,0, ,42.32878999,-71.11021999,1001487000,761565.4896,2945080.34,343,73.50%,346,http://www.pmc.edu,
56,59,NCES & Consortium,0,"950 Metropolitan Ave, Boston, Massachusetts 02136*",62594,164614,Boston Baptist College,"950 Metropolitan Ave, Boston, Massachusetts 02136",Hyde Park,35206,BOSTON BAPTIST COLLEGE,(617) 364-3510,1899,3,3326900,147,0, ,42.25399999,-71.11025999,1810945000,761679.2079,2917825.673,103, ,96,http://www.boston.edu,
19,20,Consortium,0,,84599,0,Boston University Trustees,25 Buick Street,Allston/Brighton,122743,BOSTON UNIVERSITY,(617)-353-6500,1990,3,18007000,0,0, ,42.35196,-71.11522999,2100400000,760172.6761,2953517.78,,,0,,
28,30,Consortium,0,,79841,0,Harvard Business School,Soldiers Field Rd,Allston/Brighton,92340,HARVARD COLLEGE, ,1975,3,26812300,0,0, ,42.36522699,-71.12005612,2200480000,758846.6141,2958346.699,, ,913,http://www.hbs.edu,
27,29,Consortium,0,,79838,0,Harvard University Sailing,Harvard Way,Allston/Brighton,,HARVARD COLLEGE,(617)-495-3434,0, ,831000,0,0, ,42.3664324,-71.1229264,2200530001,758068.9815,2958782.535,,,0,,
52,54,NCES,0,"1505 Commonwealth Ave, Brighton, Massachusetts 02*",80906,167020,Everest Institute-Brighton,"1505 Commonwealth Ave, Brighton, Massachusetts 02135",Allston/Brighton,63504,COMMEX LLC,(617) 783-9955,1964,5,3189600,700,0, ,42.34711,-71.14154,2101830005,753068.3708,2951719.357,422, ,369,http://www.bryman-institute.com,
53,55,NCES,0,"127 Lake Street, Brighton, Massachusetts 02135-38*",88667,167677,Saint John's Seminary,"127 Lake Street, Brighton, Massachusetts 02135",Allston/Brighton,83600,TRUSTEES OF BOSTON COLLEGE,(617) 254-2610,1964,3,1265300,145,0, ,42.34432295,-71.16304875,2205268070,747258.0002,2950680,183,100%,192,http://www.sjs.edu,
22,24,Consortium,0, ,14097,164924,Boston College,"140 Commonwealth Avenue, Chestnut Hill, Massachusetts 02467",Chestnut Hill,, , ,0, ,0,15036,0, ,42.33383264,-71.16971925, ,745469.5103,2946850.066,14754, ,14309, ,
55,58,NCES & Consortium,0,"One Wells Avenue, Newton, Massachusetts 02459",41509,166717,Massachusetts School of Professional Psychology,"221 Rivermoor St, Boston, Massachusetts 02132",West Roxbury,119454,CITY OF BOSTON,(617) 327-6777,1975,1,5477000,448,0, ,42.27889226,-71.18035129,2009228000,742669.8131,2926817.873,558, ,652,http://www.mspp.edu,
